spot_name,city_id,spot_number,spot_address,spot_rating,spot_website,description,content_link
John F. Kennedy Center for the Performing Arts,1,202-467-4600,"2700 F St NW, Washington, DC 20566",4.8,https://www.kennedy-center.org,"A grand venue for theater, music, and dance performances on the Potomac River. Enjoy Broadway shows, symphonies, ballets, and rooftop skyline views—an iconic and elegant DC date night.",https://www.instagram.com/p/CrpARYQOjY3/
The Anthem,1,202-888-0020,"901 Wharf St SW, Washington, DC 20024",4.7,https://www.theanthemdc.com,"A cutting-edge waterfront concert hall with stunning views, top-tier bands, and vibrant energy. The ultimate live music date spot—perfect for couples who love an exciting night out.",https://www.instagram.com/theanthemdc/
Blues Alley,1,202-337-4141,"1073 Wisconsin Ave NW, Washington, DC 20007",4.1,https://www.bluesalley.com,"A legendary, cozy jazz club in Georgetown serving live music nightly since 1965. The candle-lit, intimate atmosphere is perfect for a classic, romantic date.",https://www.instagram.com/bluesalleydc/
DC Improv Comedy Club,1,202-296-7008,"1140 Connecticut Ave NW, Washington, DC 20036",4.1,https://www.dcimprov.com,"The city’s top comedy club: big names, local stars, cabaret-style seating, dinner, and drinks. An evening of laughter and connection for any couple.",https://www.instagram.com/p/B90NiojBNgA/
The Escape Game DC (Georgetown),1,202-410-3210,"3345 M St NW, Washington, DC 20007",5.0,https://theescapegame.com/washingtondc,"A 60-minute, high-energy adventure where you and your date solve puzzles and race the clock to 'escape' themed rooms. Perfect for playful, teamwork-loving pairs.",https://www.instagram.com/explore/locations/199540410480302/escape-room-live-dc-georgetown/
Swingers Crazy Golf,1,202-968-1080,"1330 19th St NW, Washington, DC 20036",4.5,https://www.swingers.club/us/locations/washington-dc/,"A two-level, adults-only mini-golf venue with quirky themed courses, cocktails, street food, DJs, and a vibrant party vibe. Bring a sense of humor—this spot is wild fun.",https://www.instagram.com/p/DGwCahlx_Df/
The Mansion on O Street,1,202-496-2020,"2020 O St NW, Washington, DC 20036",4.3,https://www.omansion.com,"Tour a mansion filled with 100+ rooms and 80+ secret doors—plus art, music memorabilia, and quirky treasures. A whimsical, interactive adventure for curious couples.",https://www.instagram.com/omansion/
Monuments by Moonlight Night Tour,1,202-832-9800,"50 Massachusetts Ave NE, Washington, DC 20002",4.6,https://www.trolleytours.com/washington-dc/monuments-by-moonlight,"See DC's iconic monuments glow after dark with a fun, guided trolley tour. Romantic, crowd-free, and filled with history—an enchanting shared adventure.",https://www.instagram.com/p/DDAGxpNPPbL/
9:30 Club,1,202-265-0930,"815 V St NW, Washington, DC 20001",4.6,https://www.930.com,"Legendary concert venue hosting indie bands, secret shows, and big acts. An up-close, energetic music experience—perfect for concert-loving couples.",https://www.instagram.com/930club/
Arena Stage at the Mead Center,1,202-488-3300,"1101 6th St SW, Washington, DC 20024",4.5,https://www.arenastage.org,"A renowned regional theater with powerful plays, Broadway-bound musicals, and immersive, in-the-round stages. Share the thrill of live theater—just steps from The Wharf.",https://www.instagram.com/arenastage/
