dessert_name,city_id,dessert_number,dessert_address,dessert_rating,dessert_website,description,content_link
Sticky Fingers Sweets & Eats,1,(202) 299-9700,"314 Carroll St NW, Washington, DC 20012",4.3,https://stickyfingersbakery.com/?srsltid=AfmBOoqGFh3V2gWIr5ztJeoBRXoVkv4k5tlOzFDdkKYi7JB7mxt8vpXR,"Sticky Fingers specializes in vegan sweets, offering a variety of cakes, cookies, and pastries. It’s a favorite for both vegans and non-vegans looking for a delicious and guilt-free treat.

",https://www.youtube.com/watch?v=cWdH3PPW15o
Patisserie Poupon,1,(202) 342-3248,"1645 Wisconsin Ave NW, Washington, DC 20007",4.3,https://patisseriepoupon.com/,"Patisserie Poupon is a French bakery offering an array of pastries, cakes, and chocolates. With an emphasis on quality and authenticity, it's a beloved spot for anyone craving classic French desserts.",https://www.instagram.com/patisseriepoupondc/p/Cl6GVsjumtH/
Pasha Castle,1,(202) 450-1810,"3279 1/2 M St NW, Washington, DC 20007",4.7,https://pashacastle.com/,"Pasha Castle offers unique Middle Eastern-inspired desserts, including baklava and Turkish delights. The elegant setting and exotic flavors make it a must-visit for anyone with a sweet tooth.",https://www.youtube.com/watch?v=U7bmSSUOmG4
The Cakeroom,1,(202) 450-4462,"2006 18th St NW Washington, DC 20009",4.2,https://shop.cakeroombakery.com/,"The Cakeroom specializes in decadent cakes, cupcakes, and other baked goods. With a focus on high-quality ingredients and beautiful presentation, it’s a perfect place for both dessert lovers and special events.",https://www.youtube.com/watch?v=bVeq8lgJSYs
Rose Ave Bakery,1,(202) 506-4380,"2633 Connecticut Ave NW, Washington, DC 20008",4.7,https://www.roseavebakery.com/,"Rose Ave Bakery offers an assortment of cakes, pastries, and sweet treats with a focus on fresh ingredients and beautiful designs. It's the perfect spot for a special occasion or an everyday indulgence.",https://www.youtube.com/watch?v=CT3OkpRNozs
Here's The Scoop,1,(202) 629-4040,"2824 Georgia Ave NW (LL), Washington, DC 20001",4.1,https://www.georgetowncupcake.com/,"Here's The Scoop serves up delicious, homemade ice cream in a variety of creative flavors. It’s a perfect spot for a sweet treat on a hot day, with a playful atmosphere and family-friendly vibes.",https://www.youtube.com/watch?v=P7wXFWP21l4
Un Je Ne Sais Quoi,1,(202) 721-0099,"1361 Connecticut Ave NW, Washington, DC 20036",4.7,https://unjenesaisquoi.square.site/,"Un Je Ne Sais Quoi is a charming French bakery offering a variety of delicate pastries, including macarons, tarts, and éclairs. Its quaint atmosphere makes it a perfect spot for sweet indulgence.",https://www.youtube.com/watch?v=B43I7y2nyT4
Poppin Mess Champagne & Dessert Bar,1,(202) 971-9583,"1301 U St NW, Washington, DC 20009",4.5,No Website,Poppin Mess offers a unique experience combining champagne and delectable desserts in an upscale setting. Their sweet treats and bubbles are perfect for a celebration or casual indulgence.,https://www.instagram.com/poppinmess/
Crepeaway,1,(202) 973-0404,"2001 L St NW, Washington, DC 20036",4.5,https://www.crepeaway.com/,"Crepeaway is a fun, casual spot offering both sweet and savory crepes. Their diverse menu and fresh ingredients make it a perfect choice for a quick dessert or a casual meal.",https://www.instagram.com/crepeawayydc/
Dominique Ansel Bakery,2,(212) 219-2773,"189 Spring St, New York, NY 10012",4.3,https://www.dominiqueanselny.com/,"Located in Soho, this bakery serves up creative and amazing French treats. While they have a wide variety of baked goods and pastries, their Cronut is a combination of the classic croissant and donut that has a delicious flaky crust. They have different specials every day, one of the days they have a Cronut with apricot icing and an extra creamy custard filling. Do yourself a favor and pay them a visit. You won’t regret it! They usually introduce a new cronut with every new season. Last September they came out with a fig & almond Cronut® – filled with homemade fig jam and creamy toasted almond ganache.",https://youtu.be/b6A2sQpHWUo?si=7PBL3ZmpYLP1Qhh3
MarieBelle,2,(212) 925-6999,"484 Broome St, New York, NY 10013",4.7,https://mariebelle.com/,"This spot is a chocolate parlor circa 1880 where European traditions like high tea are blended with scrumptious versions of chocolate. Step inside the enchanting Cacao Bar by MarieBelle New York, where the boundaries of time and space dissolve and the senses are transported to a bygone era; where the scents of rich chocolate and richly brewed espresso waft through the air, tantalizing your senses and drawing you in. The first thing that catches your eye is the stunning array of antiques that adorn this space. Vintage furniture, antique clocks, and ornate chandeliers create a sense of nostalgia and sophistication while transporting you to a different era. But it’s not just the decor that’s special; the Cacao Bar is designed to be a haven for relaxation and indulgence.  Whether you’re looking for a quiet spot to escape the hustle of daily city life or a unique setting for your next gathering, this space has everything you need. At MarieBelle’s Cacao Bar, surrender to a lavish afternoon high tea experience that will leave you feeling pampered and satisfied; here the art of afternoon tea is elevated to new heights, offering a sumptuous spread of gourmet delights that are guaranteed to delight your senses.",https://www.instagram.com/mariebelleofficial/
A La Mousse,5,(215) 238-9100,"145 N 11th St, Philadelphia, PA 19107",4.6,https://www.instagram.com/alamousse/#,"A La Mousse is a modern and cozy dessert shop located in Philadelphia, PA (Multiple locations throughout the city), offering a delectable selection of housemade treats such as matcha cake, chocolate mousse cakes, and macarons in various flavors and shapes. With over 20 layers of crepe cake filled with delicious creams, their signature mango mille crepe cake is a must-try, while their refreshing lemonade mint green tea provides the perfect accompaniment to their sweet offerings.",https://www.youtube.com/watch?v=Ze3xmc32xGs
Bredenbeck's Bakery,5,(215) 247-7374,"8126 Germantown Ave. Philadelphia, PA 19118",4.6,https://bredenbecks.com/,"Bredenbeck’s Bakery & Ice Cream Parlor has been serving sweet confections and ice cream treats to customers in Philadelphia and beyond since 1889. Bredenbeck’s is a full line scratch bakery specializing in unique custom design cakes, your favorite classic pastries, and many more sweet treats! NOTE: They are closed for the season until Spring. ",https://www.instagram.com/bredenbecks/
Termini Bros Bakery,5,(215) 334-1816,"1523 S 8th St, Philadelphia, PA 19147",4.6,https://www.termini.com/,"Since 1921, when brothers Giuseppe and Gaetano first opened up shop in their South Philadelphia pasticceria, the Termini name has been associated with tradition, quality, and handmade Sicilian sweets. Now in the hands of the third generation of Termini brothers, the bakery never wavers from that foundation. They still make traditional cookies, cakes, pastries, and torrone (nougat candy studded with nuts), just the way their grandfather and father did for over 90 years. Walk by their long counter filled with cookies fragrant with almond and orange—amaretti, biscotti, pignoli— flaky sfogliatelle, tall, immaculately frosted carrot and cream cakes, and you’ll understand why Termini leads the pack of Philadelphia’s Italian bakeries and has become a family tradition for so many people. Whether your pick is New York–style cheesecake, fig bars with Marsala and hazelnuts, or cannoli filled with whipped ricotta cheese, chocolate, or vanilla cream, a stop at Termini might become a family tradition for you, too. They have mulitple locations across the city, including one in Reading Terminal Market. ",https://www.youtube.com/watch?v=uooNNNbEwlc
Sweets & Treats Factory,5,(215) 391-5920,"6706 Rising Sun Ave, Philadelphia, PA 19111",4.7,https://www.sweetstreatsfactory.com/,"Sweets & Treats Factory is a dessert shop located in the Lawndale neighborhood of Philadelphia, specializing in a variety of sweet treats. The menu features an array of cupcakes, including options to purchase them in boxes of various sizes, and chocolate-covered items like pretzels and Oreos. Additionally, they offer a selection of mini cheesecakes and larger cakes, with popular choices among customers being the Churro Cheesecake and Tres Leches Cake.",https://www.instagram.com/sweetsandtreatsfactory/
Tartes,5,(215) 625-2510,"212 Arch St, Philadelphia, PA 19106",4.8,https://www.tartespastryshop.com/,"This spot is a little pink stand alone shop on Arch street in Phila between 2nd and Third street in Old City, is where the best homemade bakery for brownies, cookies, lemon tarts, fruit tarts, can be purchased. With bakers inside baking away, with a sliding glass window where you can see from outside what is available same day.",https://www.youtube.com/watch?v=MTDQoTXKkRs
The Franklin Fountain,5,(215) 627-1899,"116 Market St, Philadelphia, PA 19106",4.5,https://franklinfountain.com/,"Established in 2004, brothers Ryan & Eric Berley collaborated in their family's building that dates from 1898 to re-create a turn-of-the-century soda fountain. Using the original pressed tin ceilings & walls and penny tile floor, the Berley Brothers harnessed their childhood rearing (their mother has been dealing antiques for over 30 years) to outfit an authentic soda shop. Simultaneously, brother Eric learned ice cream making upon graduation from college in order to create their signature ice creams in the classic Philadelphia tradition. After learning how to tie bow-ties and cultivate early 20th century fashions, The Franklin Fountain opened to great acclaim in the summer of 2004. Since then and hundreds of thousands of customers later, The Fountain has been featured on ""Road Tasted"" with the Deene Brothers, ""Man vs. Food,"" ""Unwrapped"" and ""The Best Thing I Ever Ate"" with Marc Summers, amongst other press including the Philadelphia Inquirer, New York Times, Saveur, Bon Appetit, etc. etc.",https://www.youtube.com/watch?v=AQIpfDxzmhA
Harper's Ice Cream,5,(215) 789-6597,"2827 W Girard Ave, Philadelphia, PA 19130",4.8,https://www.harpersicecream.com/,"Harper's Homemade Ice Cream is a small-batch wholesale ice cream company based in Philadelphia with a unique collection of flavors, including 18 core flavors. Each batch is made with sweet cream from grass-fed Pennsylvania cows and seasonal ingredients baked into the batter. The Strawberry Pistachio Streusel starts with Jersey fresh strawberries, a homemade jam and sweet cream. There's Blueberry Pie too, made with local blueberry jam and homemade shortbread cookies. Harper's is available at four locations across the city: Rybrew, Rybread, Primal Supply, and Riverwards Produce.",https://philly.eater.com/maps/philadelphia-where-to-order-best-ice-cream-pickup-delivery
Sweet Nina's,5,(215) 805-8757,"51 N 12th St, 19107 3rd Ave B, Philadelphia, PA 19107",4.9,https://www.sweetninas.com/,"Sweet Nina's is a dessert shop inside Reading Terminal Market specializes in classic and flavored banana pudding, plus bread pudding.",https://www.instagram.com/sweet.ninas/
Sweet T's Bakery & Snack Shop,5,(267) 319-1819,"51 North 12th, 1136 Arch St, Philadelphia, PA 19107",4.6,https://www.sweettsbakery.co/,"Located in Reading Terminal Market, Sweet T’s Bakery is believed to be the first Black-owned bakery in Market history. They offer a line of sweet-potato-based sweets and baked goods like sweet potato pie, sweet potato pound cake, and sweet potato cheesecake along with four signature drinks.",https://www.theinfatuation.com/philadelphia/guides/where-to-eat-in-reading-terminal-market
Azucar Ice Cream,6,(305) 381-0369,"1503 SW 8th St, Miami, FL 33135",4.5,https://www.azucaricecream.com/,"It’s hard to imagine that one corner of Little Havana without the two-story sculpture of an ice cream cone. Azucar Ice Cream has come to signify the neighborhood. Just as Little Havana helped build Azucar. The ice cream shop has all the iconic, Miami elements down to its iconic name: the catchphrase of the immortal Celia Cruz: ""Azucar!"" The flavors: guava, cream cheese and Maria cookies — all in one ice cream? It’s like a frozen pastelito! Cafe con leche. Something called ""Cochino Borracho"" with candied bacon. The way it reflects the flavors of Miami culture is part of its success. When you’re strolling Calle Ocho beneath the sweltering sun, nothing cools off your afternoon like a frosty treat. Pop into Azucar, where you’ll find flavors that could only be dreamed up in Miami. They also have another location in Pinecrest. ",https://www.youtube.com/watch?v=6oA6oQBN7b0
Oh My Gosh Brigadeiros,6,(305) 456-8378,"2205 SW 23rd Ave, Miami, FL 33145",4.7,https://www.omgbrigadeiros.com/,"A brigadeiro is a traditional Brazilian dessert, a popular chocolate treat named after the Brazilian hero, Brigadeiro Eduardo Gomes. Brigadeiros are made of condensed milk, cocoa powder, butter, and chocolate sprinkles covering the outside layer. They are also referred to as bon-bons, truffles or fudge balls. Luciano Brilho, a young American-Brazilian entrepreneur opened up the first Oh My Gosh! Brigadeiro boutique in Miami, Florida. They also offer small cake jars, several types of cakes, coffees and shakes, all very delicious.They have several locations in Miami with their Flagship store located in Coral Gables. ",https://miami.eater.com/maps/best-candy-chocolate-shops-miami-south-florida
Dasher & Crank,6,(305) 640-8579,"2211 NW 2nd Ave, Miami, FL 33127",4.6,https://dasherandcrank.com/,"The trendy and vibrantly designed Dasher & Crank is an ice cream shop located in Wynwood that offers exquisite ice cream flavors and a great time. The shop accommodates customers who are vegan and gluten-free.  Many prefer to use almond milk, coconut or soy in their ice cream flavors. Almost all flavors are made with their famous coconut milk base from Thailand. Due to growing health trends, Dasher & Crank tried expanding that industry for a wider audience, yet still kept basic flavors like chocolate with cow milk and cream for those who don’t like coconut milk either. Dasher & Crank also serves many teas and drinks, as they offer a matcha bar inside the store. They have all sorts of matcha lattes such as hibiscus matcha lattes, white chocolate matcha lattes, and specially infused wellness lattes involving syrups such as beetroot, butterfly pea, and turmeric. Service options include cups, cones up to three scoops, ice cream sandwiches with their own cookies, pints, sundaes and shakes all being available for reasonable prices. The drinks are priced between $7 to $10, and all ice creams are between $5 to $6. As they have new flavors weekly, the shop creates smaller batches of each flavor to ensure quality and avoid being wasteful.",https://www.theinfatuation.com/miami/reviews/dasher-and-crank
Cielito Artisan Pops,6,(305) 676-2665,"2750 NW 3rd Ave Suite 20A, Miami, FL 33127",4.8,https://cielitoartisanpops.com/,"Cielito offers hand crafted Ice Cream Pops and Vegan ice pops. A family-friendly ambiance lends to the fun and artistic feel of this ice cream shop, offering indoor and outdoor seating, perfect for any pet owner, with dog friendly ice pops available! They have several locations in Florida with their flagship store located in Wynwood (Miami). ",https://www.youtube.com/watch?v=AnTU_E4EfqI
Glace,2,(347) 502-6445,"1266 Madison Ave, New York, NY 10128",4.2,https://glaceny.com/,"Sasha Zabar, son of the founder of New York’s famous Zabar’s, opened Glacé by Noglu back in May of 2023. But Glacé (French for ice cream) became super popular this winter when its hot chocolate, topped with toasted meringue and cream, went viral. Located on the Upper East of Manhattan between 90th and 91st streets on Madison Avenue, also serves French ice cream and sorbets that are gluten-free. Even the cones are gluten-free. They also have a truck located at 30 ROCKEFELLER PLAZA 50th Street between 5th & 6th avenue.",https://www.instagram.com/glacenewyork/
Chocolate Factory,2,(347) 560-6080,"6740 5th Ave, Brooklyn, NY 11220",4.6,https://www.instagram.com/chocolatefactoryny/,"Opened by the famous Ocky Way, this dessert shop serves all of the favored middle eastern sweets with the Ocky Way. Located in Brooklyn, crepes, kunafa, waffles, and more sweet treats are offered at this dessert shop.",https://www.instagram.com/rah_money1/p/Cxa8btYrU0a/
Malai Ice Cream,2,(347) 889-5789,"268 Smith St, Brooklyn, NY 11231",4.6,https://www.malai.co/,"One of our favorite store-bought ice cream brands finally opened up a brick and mortar in Carroll Gardens. Founded by Pooja Bavishi, Malai serves up flavors from around the world including rose with cinnamon roasted almonds, sweet milk, star anise, ginger root and Turkish coffee. Look out for seasonal flavors like sweet roti and ghee; we love it served in a cone with toppings like cardamom shortbread and peanut chikki. They also have another location in Washington DC. ",https://www.instagram.com/malai_icecream/
Sweet Cheats,3,(404) 590-6086,"692 B Kirkwood Ave SE UNIT B1, Atlanta, GA 30316",4.5,https://sweetcheatsatlanta.com/,"Sweet Cheats was created by a National Level Figure Competitor, Shirley Hughes, along with her husband Robert Tubbs and with the help of many friends and family.  During her 3 years spent training for her NPC competitions, Shirley was only allowed to eat certain foods and wasn’t always able to have what she was craving. She began taking notes on these cravings, and turning them into little treats for herself when her strenuous dieting for each competition was over. While in training, one “cheat” meal was allowed per week, and hers were usually sweet concoctions. She then decided on a whim to turn her favorite treats into cupcakes not only for herself but for fellow teammates, the RocStarzz, as personal gifts. From there, requests started coming in and the demand was on. It was an instant success! As you can see (and taste!), the “Sweet Cheats” name comes directly from Shirley’s competition background.  Shirley still promotes health and wellness and is still very active in the gym, but makes sure that if you are going to spend your cheat calories on one of her desserts, it’s going to be worth it!",https://www.youtube.com/watch?v=GSEZCnBoaWI
Julianna's Coffee & Crepes,3,(404) 855-4996,"775 Lake Ave NE, Atlanta, GA 30307",4.6,https://www.atlantacrepes.com/,"Conveniently located just minutes from the East Side Belt-Line entrance in the Inman Park suburb, Julianna's is a one of a kind shop unlike anything in Atlanta. Specializing in Hungarian crepes called ""palacsinta"".",https://atlanta.eater.com/maps/best-quiet-intimate-cozy-restaurants-atlanta
Endulge Cupcake Boutique,3,(404) 996-6995,"749 Moreland Ave SE Suite A-101, Atlanta, GA 30316",4.6,https://endulgecupcakes.com/,"Located in Ormewood Square, this modern-chic destination whipping up an array of unique cupcakes with natural ingredients. Endulge Cupcake Boutique in Atlanta offers tasty eats everyone will enjoy.",https://www.youtube.com/watch?v=bk6JqhYA2yU
eighty7sweets Vegan Ice Cream Company,3,(470) 378-7956,"56 Broad St NW, Atlanta, GA 30303",5.0,https://www.eighty7sweets.com/,"Eighty7sweets is an ice cream company, based in Atlanta, GA that specializes in luxury, delicious vegan and non-dairy offerings. 100% Vegan!!! Get a taste of all of Atlanta without the traffic and jams! More than just ice cream.",https://www.youtube.com/watch?v=IjRI4L08ZnA
Voga Italian Gelato,3,(470) 875-5637,"299 North Highland Avenue Northeast G, Atlanta, GA 30307",4.7,https://vogagelato.com/,"Voga Gelato is offering authentic Italian gelato and more in Atlanta. If you are looking for a dessert shop, coffee shop or gelato or ice cream shop, this is the spot for you. Using natural imported Italian ingredients to bring you creamy gelato made from scratch daily. The dessert selections will satisfy your sweet tooth with gelato flavors, crepes and waffle desserts. It will pair perfectly with a selection of espresso coffees. For the best gelato in town, stop in today! Voga has been appointed "" Best Ice Cream in Georgia "" in 2019 by Travel + Leisure.",https://www.youtube.com/watch?v=j1ZS9rYNs6M
Little Miss Cupcape INC,4,(508) 778-2253,"250 Newbury St, Boston, MA 02116",4.4,https://www.littlemisscupcape.com/,"Little Miss Cupcape serves a variety of small and regular size cupcakes along with coffee and other drinks, candy, and other treats such as edible cookie dough, including vegan options.",https://www.instagram.com/littlemisscupcape/
ByClio Bakery,2,(585) 204-3121,"400 3rd Ave, Brooklyn, NY 11215",4.9,https://byclionyc.com/,"Clio Goodman, the chef behind the cult favorite (and much-missed) Puddin’ bakery on St. Marks Place, is back at it with a newly-opened cake shop. With flavors like coconut rose and bay leaf Greek yogurt, her bright, whimsical cakes look like something your extremely talented BFF would bring to a dinner party. Cakes can be had by the slice at the bakery, but to order a whole cake, you’ll need to act fast—they can only be purchased once a month, and they often sell out in under an hour. ",https://www.instagram.com/byclionyc/
Elliston Place Soda Shop,8,(615) 219-2704,"2105 Elliston Pl, Nashville, TN 37203",4.5,https://www.ellistonplacesodashop.com/,Elliston Place Soda Shop is a classic diner offering timeless American desserts like rich sundaes and freshly baked pies. Its retro ambiance adds to the charm of enjoying a sweet treat here.,https://www.youtube.com/watch?v=npYBom6kUT8
The Cupcake Collection,8,(615) 244-2900,"1213 6th Ave N, Nashville, TN 37208",4.7,https://www.thecupcakecollection.com/?srsltid=AfmBOorZHc9ZUcrdcYTbylqyTdprGktKWDBhLtirWH394MeTPdgpUNu-,"This Southern-based bakery is known for its original sweet potato cupcake, blending classic Southern pie flavors into a unique cupcake experience. Other cupcake flavors are equally delightful.",https://www.youtube.com/watch?v=jv9ZMk330QU
Olive & Sinclair Chocolate Co,8,(615) 262-3007,"1628 Fatherland St, Nashville, TN 37206",4.8,https://www.oliveandsinclair.com/,"Founded in 2007, Olive & Sinclair is renowned for its gourmet Southern-style chocolate. Their unique approach involves slow-roasting and stone-grinding cacao, inspired by traditional methods used for stone-ground grits. You can tour the factory and watch it all happen.",https://www.youtube.com/watch?v=jTu33fhIBdA
Goo Goo Chocolate Co,8,(615) 490-6685,"116 3rd Ave S, Nashville, TN 37201",4.5,https://googoo.com/,"Goo Goo Cluster holds a special place in America’s confectionery history as the nation’s first combination candy bar, created in 1912 in Nashville. This unique candy bar broke the mold with its roundish mound of caramel, marshmallow nougat, fresh roasted peanuts, and real milk chocolate. ",https://www.youtube.com/watch?v=rR150NOzHQk
